Date,ADA,WMT
08/12/2023,0.291837,0.1326399165
08/13/2023,0.289531,0.1299415128
08/14/2023,0.290611,0.129612506
08/15/2023,0.281817,0.1246194774
08/16/2023,0.274532,0.1156328784
08/17/2023,0.255958,0.1067088902
08/18/2023,0.263892,0.10621653
08/19/2023,0.268378,0.1056872564
08/20/2023,0.270709,0.1082836
08/21/2023,0.263179,0.1056137327
08/22/2023,0.258366,0.1084362102
08/23/2023,0.267965,0.1094101095
08/24/2023,0.265884,0.109145382
08/25/2023,0.26108,0.107982688
08/26/2023,0.260953,0.1068863488
08/27/2023,0.263446,0.1099096712
08/28/2023,0.267434,0.1098084004
08/29/2023,0.272449,0.1127121513
08/30/2023,0.265654,0.109316621
08/31/2023,0.255373,0.1060819442
09/01/2023,0.255185,0.107279774
09/02/2023,0.25623,0.107129763
09/03/2023,0.255793,0.1076121151
09/04/2023,0.256146,0.108990123
09/05/2023,0.257614,0.1105936902
09/06/2023,0.257667,0.1102299426
09/07/2023,0.25772,0.109891808
09/08/2023,0.25437,0.110752698
09/09/2023,0.253492,0.1093057504
09/10/2023,0.249052,0.1096326904
09/11/2023,0.241873,0.1052631296
09/12/2023,0.24587,0.104076771
09/13/2023,0.248884,0.1058752536
09/14/2023,0.251181,0.1071789327
09/15/2023,0.250643,0.1055708316
09/16/2023,0.250436,0.1071615644
09/17/2023,0.247316,0.1060491008
09/18/2023,0.251743,0.1076956554
09/19/2023,0.25526,0.109327858
09/20/2023,0.25163,0.107848618
09/21/2023,0.245455,0.107558381
09/22/2023,0.244922,0.1092107198
09/23/2023,0.246133,0.116174776
09/24/2023,0.243026,0.116166428
09/25/2023,0.245881,0.1160312439
09/26/2023,0.245395,0.1160963745
09/27/2023,0.244791,0.1183319694
09/28/2023,0.24912,0.120773376
09/29/2023,0.249536,0.123021248
09/30/2023,0.254047,0.1244576253
10/01/2023,0.265895,0.126087409
10/02/2023,0.259513,0.126382831
10/03/2023,0.261028,0.1282430564
10/04/2023,0.259315,0.1318098145
10/05/2023,0.260149,0.1365001803
10/06/2023,0.264872,0.1465536776
10/07/2023,0.258735,0.1501956675
10/08/2023,0.256629,0.1442511609
10/09/2023,0.251642,0.136767427
10/10/2023,0.249141,0.1364794398
10/11/2023,0.248001,0.1295557224
10/12/2023,0.245922,0.1264530924
10/13/2023,0.246146,0.1264205856
10/14/2023,0.247011,0.1274823771
10/15/2023,0.247356,0.1274130756
10/16/2023,0.251563,0.1302844777
10/17/2023,0.247115,0.129339991
10/18/2023,0.243453,0.1349459979
10/19/2023,0.246923,0.1303506517
10/20/2023,0.251138,0.131470743
10/21/2023,0.258585,0.133119558
10/22/2023,0.263573,0.133367938
10/23/2023,0.279954,0.1411808022
10/24/2023,0.278993,0.1374877504
10/25/2023,0.280556,0.1373602176
10/26/2023,0.287292,0.1370957424
10/27/2023,0.289468,0.1371788852
10/28/2023,0.29125,0.136101125
10/29/2023,0.295283,0.1364798026
10/30/2023,0.302734,0.138198071
10/31/2023,0.293107,0.134536113
11/01/2023,0.307459,0.1350052469
11/02/2023,0.323142,0.1389833742
11/03/2023,0.329021,0.1421041699
11/04/2023,0.328542,0.138973266
11/05/2023,0.34287,0.140850996
11/06/2023,0.363408,0.1453995408
11/07/2023,0.351571,0.1427026689
11/08/2023,0.35835,0.154413015
11/09/2023,0.368335,0.154111364
11/10/2023,0.38621,0.159350246
11/11/2023,0.384564,0.1522104312
11/12/2023,0.383383,0.1507078573
11/13/2023,0.358415,0.1376672015
11/14/2023,0.35787,0.137815737
11/15/2023,0.379292,0.1435240928
11/16/2023,0.371766,0.1380738924
11/17/2023,0.366609,0.1367084961
11/18/2023,0.377694,0.1381226958
11/19/2023,0.384525,0.1428510375
11/20/2023,0.380682,0.1387966572
11/21/2023,0.358631,0.1279595408
11/22/2023,0.38066,0.136809204
11/23/2023,0.386675,0.1395510075
11/24/2023,0.386213,0.1367966446
11/25/2023,0.394811,0.1349858809
11/26/2023,0.388185,0.1325651775
11/27/2023,0.378359,0.1281880292
11/28/2023,0.385624,0.1294925392
11/29/2023,0.381776,0.1265969216
11/30/2023,0.375895,0.132615756
12/01/2023,0.384202,0.1457278186
12/02/2023,0.397798,0.1456338478
12/03/2023,0.395155,0.141070335
12/04/2023,0.406811,0.1409193304
12/05/2023,0.425658,0.1435318776
12/06/2023,0.442406,0.1465248672
12/07/2023,0.456432,0.1521744288
12/08/2023,0.545921,0.1727294044
12/09/2023,0.5786,0.17884526
12/10/2023,0.594155,0.1879312265
12/11/2023,0.551021,0.1734614108
12/12/2023,0.576407,0.1779368409
12/13/2023,0.665244,0.1938521016
12/14/2023,0.643478,0.1964538334
12/15/2023,0.601408,0.199366752
12/16/2023,0.607609,0.1935234665
12/17/2023,0.580314,0.1857585114
12/18/2023,0.601033,0.1824135155
